RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
30,Jr,6-8,Quincy Guerrier (22),Oregon,Syracuse,66.2,2.6,2.9,109,19.9,52.3,54.5,7.3,14.9,5.6,13.3,1.3,1.6,34.3,67-123,0.545,9.9,52-154,0.338,2022
31,So,6-3,Jay Heath (22),Arizona St.,Boston College,63,2.1,2.7,101.1,20,51.6,54.3,1.8,10.8,13,15.9,0.1,1.6,22.6,59-141,0.418,7.9,46-107,0.43,2022
32,So,6-7,Mickey Mitchell (18),Arizona St.,Ohio St.,41.9,1.3,2.6,108.3,15.3,54,57.3,7.4,18.3,12.1,22.1,2.7,2.2,49.5,43-79,0.544,2,7-20,0.35,2018
33,Jr,6-10,Tyler Rawson (17),Utah,Southern Utah,49,1,2.6,102.4,18.1,48.9,52.3,6.4,14.3,15.6,22.3,2.6,1.9,42.1,38-73,0.521,5.8,18-60,0.3,2017
34,Sr,6-7,Shakur Juiston (20),Oregon,UNLV,57.1,2,2.4,101.6,18.6,50.8,51.2,8.7,18,13.3,21.5,2.5,2.1,18.5,83-149,0.557,2.9,7-35,0.2,2020
35,Jr,6-3,Boogie Ellis (22),USC,Memphis,71.7,3,2.4,107.1,21.8,49.9,53.6,2,9.8,15.7,16,0.5,1.6,25.9,87-194,0.448,9,56-149,0.376,2022
36,Jr,6-1,Shannon Evans II (17),Arizona St.,Buffalo,89,3.8,2.4,111.7,21.5,50.3,55,1.5,9.2,22.9,13.5,0.7,2,30.6,89-191,0.466,9.4,72-201,0.358,2017
37,Sr,6-5,Marco Anthony (22),Utah,Utah St.,65.8,2,2.3,101.2,20,43.8,47.8,9.8,16.6,13.9,15.5,1.8,1.3,39.3,80-190,0.421,2.5,12-34,0.353,2022
38,Sr,6-4,Jordan Shepherd (22),California,Charlotte,81.2,2.5,2.2,95.1,27.6,42.8,48.5,1.1,9.2,16.5,14.1,1.4,2.2,34.5,125-295,0.424,7.1,35-120,0.292,2022
39,Jr,6-1,DJ Horne (22),Arizona St.,Illinois St.,71.4,2.3,2.2,99.7,22.1,50,52.1,1.4,9,13.8,13.9,0.1,1.2,10.9,61-138,0.442,13.3,73-203,0.36,2022
40,Jr,6-2,Shane Gatling (19),Colorado,Niagara,64.6,1.6,2.2,105.3,19.2,46,51.9,0.9,7.5,12.1,13.8,0.8,2.1,35.8,44-103,0.427,11.4,59-185,0.319,2019
41,Jr,6-2,De'Vion Harmon (22),Oregon,Oklahoma,78.2,2.2,2.1,103.7,18.4,48.9,51.8,1.5,8.1,11.7,14.9,0.1,2.5,24.8,80-179,0.447,7.4,49-135,0.363,2022
42,Jr,6-6,Eric Williams Jr. (21),Oregon,Duquesne,66,2.6,2,106.2,18.7,46.6,50.4,7.3,16.4,9,13.6,1.9,1.1,30.4,50-117,0.427,7.2,31-90,0.344,2021
43,Sr,6-1,Holland Woods (21),Arizona St.,Portland St.,65,1.5,1.9,107.1,13.3,48.2,53,1,8.8,12.6,11.4,0,2.1,26.2,26-53,0.491,7.4,28-88,0.318,2021
44,Jr,6-4,Rob Edwards (19),Arizona St.,Cleveland St.,59.3,1.5,1.7,100.9,18.7,43.8,49.5,1.2,10.8,8.2,13.3,0.7,1.9,31.1,43-137,0.314,9.1,51-136,0.375,2019
45,Jr,6-9,Alonzo Gaffney (22),Arizona St.,Ohio St.,51.3,0.8,1.5,104.8,11.5,49.6,49.1,6.1,11.7,7.5,11,7,1.2,9,38-73,0.521,4.5,15-49,0.306,2022
46,Sr,6-7,MiKyle McIntosh (18),Oregon,Illinois St.,69.3,2.3,1.5,107.7,21.7,51.4,55.4,6.7,19.5,9.9,16.6,1.4,1.6,40.1,110-218,0.505,5.9,37-104,0.356,2018
