
RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
29,Jr,6-8,James Banks III (19),Georgia Tech,Texas,73.4,2.3,3.6,103.3,20.0,56.4,59.1,10.8,18.3,10.3,22.4,9.2,1.1,45.4,128-227,.564,0.0,0-0,.000,2019
30,Sr,5-11,Charlie Moore (22),Miami FL,DePaul,81.4,3.5,3.6,107.8,22.6,53.1,55.2,1.3,8.6,26.4,16.5,0.6,3.6,19.7,111-217,.512,8.0,59-159,.371,2022
31,Sr,6-5,Jonah Antonio (21),Wake Forest,UNLV,48.8,1.5,3.5,109.7,15.7,59.0,60.8,1.1,14.6,10.5,18.4,1.1,2.0,10.5,5-10,.500,13.7,38-95,.400,2021
32,Sr,6-6,Jayden Gardner (22),Virginia,East Carolina,81.5,4.1,3.2,108.7,26.9,50.5,54.3,9.1,15.7,11.2,11.3,1.4,1.0,27.7,216-423,.511,0.8,3-14,.214,2022
33,Sr,6-9,Mouhamadou Gueye (22),Pittsburgh,Stony Brook,73.0,2.1,3.1,104.7,18.8,52.0,54.9,7.2,19.1,9.4,18.0,9.2,1.3,23.9,68-137,.496,7.9,43-118,.364,2022
34,So,6-3,Shelton Mitchell (17),Clemson,Vanderbilt,59.2,2.9,3.0,109.8,22.2,52.2,57.4,1.6,8.6,25.1,20.2,0.3,1.4,41.0,76-165,.461,4.8,29-64,.453,2017
35,Jr,6-9,T.J. Bickerstaff (22),Boston College,Drexel,49.7,1.4,2.6,101.8,18.3,42.2,47.2,11.5,24.6,11.4,15.4,2.7,1.8,47.7,51-122,.418,2.8,9-31,.290,2022
36,Jr,6-7,Justyn Mutts (21),Virginia Tech,Delaware,72.8,1.8,2.4,99.6,20.0,55.9,55.6,6.9,19.4,15.1,23.5,3.2,1.2,32.7,68-117,.581,4.1,15-45,.333,2021
37,Sr,6-9,Wyatt Walker (19),North Carolina St.,Samford,44.3,1.3,2.4,112.7,14.5,59.0,60.9,11.0,17.0,7.5,23.3,5.6,1.4,43.6,66-112,.589,0.4,2-5,.400,2019
38,Jr,7-0,Quinten Post (22),Boston College,Mississippi St.,49.4,2.0,2.4,103.5,24.7,52.6,55.5,11.1,19.7,8.1,18.6,5.6,1.8,29.4,105-199,.528,2.9,11-32,.344,2022
39,Jr,6-2,Daivien Williamson (21),Wake Forest,East Tennessee St.,85.0,2.9,2.4,106.5,19.7,53.7,57.5,0.2,7.0,16.6,17.7,0.2,2.2,30.9,60-114,.526,7.5,33-90,.367,2021
40,Sr,6-8,Jimmy Boeheim (22),Syracuse,Cornell,84.8,3.5,2.3,109.8,20.3,51.2,53.0,6.4,13.2,8.7,10.8,0.3,1.5,26.6,140-284,.493,4.9,36-95,.379,2022
41,Sr,6-2,Sam Hunt (18),North Carolina St.,North Carolina A&T,40.0,1.7,2.3,127.4,11.8,61.1,63.4,0.6,5.3,2.7,8.8,0.0,1.5,13.3,6-13,.462,12.7,51-122,.418,2018
42,Sr,6-3,Sidy N'Dir (19),Pittsburgh,New Mexico St.,43.9,0.8,2.1,97.9,18.2,45.7,48.6,2.7,8.4,19.9,18.6,2.4,2.4,38.0,46-87,.529,6.3,15-63,.238,2019
43,Sr,6-3,Allerik Freeman (18),North Carolina St.,Baylor,85.7,2.9,1.9,103.3,23.4,46.8,52.4,1.9,12.0,12.8,17.0,0.0,2.0,40.0,94-243,.387,8.9,70-182,.385,2018
44,Jr,6-1,Thomas Allen (21),North Carolina St.,Nebraska,44.8,1.0,1.7,98.7,16.3,47.0,49.6,1.9,9.4,10.9,17.5,0.5,2.9,16.1,18-52,.346,8.6,25-66,.379,2021
45,Sr,6-3,Andrien White (20),Wake Forest,Charlotte,59.5,1.3,1.7,96.2,19.9,50.2,54.2,1.4,15.1,11.7,22.2,0.1,1.7,26.2,31-80,.388,11.1,56-149,.376,2020
46,Sr,6-5,Jordan Chatman (17),Boston College,BYU,62.0,1.6,1.5,109.3,15.4,55.8,59.6,1.7,8.4,7.8,16.2,0.9,1.4,22.1,29-69,.420,9.6,58-139,.417,2017
47,So,6-5,Devon Daniels (19),North Carolina St.,Utah,58.3,1.2,1.5,96.3,21.8,46.8,48.8,3.8,17.3,11.4,20.0,2.8,2.1,19.8,91-194,.469,7.9,37-119,.311,2019
48,Jr,6-5,Cormac Ryan (21),Notre Dame,Stanford,70.7,2.2,1.3,101.2,20.6,48.6,52.0,3.7,13.1,15.9,16.5,1.2,2.1,20.7,41-92,.446,10.1,43-125,.344,2021
