RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
29,So,6-1,Jahvon Quinerly (21),Alabama,Villanova,56.6,3.2,4.5,109.9,24.6,56.6,58.3,2.1,6.7,25.2,20.2,0.1,1.4,24.9,90-177,0.508,8.6,52-120,0.433,2021
30,Sr,6-3,Davion Mintz (21),Kentucky,Creighton,76.4,2.9,4.4,105.9,19.8,51.2,53.1,2.7,8.4,20.6,17.6,0.7,1.9,25.2,40-95,0.421,10.9,56-147,0.381,2021
31,Sr,6-5,Egor Koulechov (18),Florida,Rice,75.7,3.4,4.2,111.1,21.9,50.8,54.6,5.8,17.8,7.8,11.5,0.4,1.2,22.5,91-210,0.433,9.9,70-176,0.398,2018
32,Jr,6-3,Jair Bolden (20),South Carolina,George Washington,51.6,1.7,3.9,109.4,17.5,52.2,53.5,1,11.4,12.2,11.2,0.6,2.1,13.5,46-109,0.422,9.8,47-114,0.412,2020
33,Sr,7-0,Olivier Sarr (21),Kentucky,Wake Forest,61.1,2.7,3.9,104.9,23.4,50,56,9.3,13.6,11.3,20.2,4.9,0.9,46,81-172,0.471,2.4,12-26,0.462,2021
34,So,6-7,Jordan Barnett (17),Missouri,Texas,48.8,2.6,3.6,106.3,21.2,51.5,54.6,6.8,15.9,5,12.7,1.9,1.3,23.8,65-111,0.586,10.8,36-120,0.3,2017
35,Sr,6-0,James Daniel III (18),Tennessee,Howard,49.1,1.3,3.5,105,17.7,50.6,53.6,2.2,6.1,25.8,23.8,0.7,2.4,27.3,14-40,0.35,10.4,45-121,0.372,2018
36,Jr,6-8,Robert Allen (21),Mississippi,Samford,40.2,0.8,3.5,103.3,15.1,47.8,54.2,11.7,11.6,9.2,24.2,3.2,2.1,73.9,30-57,0.526,1.6,2-12,0.167,2021
37,Sr,6-6,Trey Wade (22),Arkansas,Wichita St.,42.4,1.1,3.4,113.7,10.9,55.1,57.5,6.8,10.1,6.7,16.8,2.5,0.9,18.5,40-75,0.533,2.9,13-33,0.394,2022
38,Jr,6-4,Victor Bailey Jr. (21),Tennessee,Oregon,63.3,2.7,3.4,109,20.8,50,54.2,2.4,6.8,13.1,12.7,0.7,1.3,26.6,50-102,0.49,11.9,47-139,0.338,2021
