RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
29,Sr,6-1,Jamari Wheeler (22),Ohio St.,Penn St.,70.9,2.4,2.9,112.9,14.8,57.2,60.4,2.4,10,18.4,23.4,0.2,2.5,21.7,38-68,0.559,6.6,38-98,0.388,2022
30,So,6-7,Jamison Battle (22),Minnesota,George Washington,87.9,3.6,2.9,104.2,23.8,54.1,56.3,1,19.4,6,9.4,1.2,0.6,19.1,111-208,0.534,11.8,75-205,0.366,2022
31,Sr,6-9,Alihan Demir (20),Minnesota,Drexel,61.5,1.7,2.3,104.2,16.9,44.1,48.2,6.1,15.2,11.3,12.8,1.7,1.3,26,72-152,0.474,4,12-52,0.231,2020
32,Sr,6-5,Haanif Cheatham (20),Nebraska,Florida Gulf Coast,78.9,2.5,2.1,103,19.4,51.4,54.3,1.4,11,10.4,11.5,0.8,1.9,37.9,120-234,0.513,4.9,32-93,0.344,2020
33,Jr,6-0,Samuel Sessoms (21),Penn St.,Binghamton,49.2,1.5,2.1,93,24.8,45,47.4,2.1,9.6,23.4,20.8,0.5,3.7,18.3,62-134,0.463,6.7,16-57,0.281,2021
34,Fr,6-5,C.J. Wilcher (22),Nebraska,Xavier,60.4,1.6,1.9,108,15.1,59.3,59.8,2.5,7.7,6.3,14.5,0.4,1.8,17.6,40-71,0.563,9,52-128,0.406,2022
35,So,6-4,Chase Audige (21),Northwestern,William & Mary,70,1.4,1.7,86.9,27,47.5,48.4,3.3,11.9,14.6,18,1.7,3.2,20.8,67-150,0.447,10.1,39-114,0.342,2021
36,Jr,7-0,C.J. Gettys (17),Rutgers,UNC Wilmington,55.3,1.6,1.6,104.7,19.2,53.7,56.1,9.2,16.3,11.5,22.2,4,1.1,31.9,101-188,0.537,0,0-0,0,2017
37,So,6-4,Izaiah Brockington (20),Penn St.,St. Bonaventure,52.1,1.4,1.6,98.4,21,47.4,51.2,4.2,9.3,10.3,16.9,0.6,2.3,35.1,82-166,0.494,3.9,12-45,0.267,2020
38,Sr,6-9,Filip Rebraca (22),Iowa,North Dakota,53,1.6,1.6,112.6,14.6,53.7,55.2,9.6,19.4,5.4,15.7,3.3,1,36,85-155,0.548,0.4,1-6,0.167,2022
39,Sr,6-3,Keyshawn Woods (19),Ohio St.,Wake Forest,68.3,1.5,1.5,100.8,17.6,47.3,50.5,1.7,11.4,18.5,16.6,0.6,1.4,19.1,81-167,0.485,5.6,27-90,0.3,2019
40,Jr,6-11,Qudus Wahab (22),Maryland,Georgetown,48,1.8,1.4,106.7,21.3,55.9,58.6,10.1,23.1,4.2,18.4,4.3,0.7,49.4,95-168,0.565,0.2,0-2,0,2022
41,Jr,6-4,Dachon Burke Jr. (20),Nebraska,Robert Morris,62.5,1.4,1.3,89.7,24.2,45,46.5,3.1,9.2,9.9,11.9,2.1,2.8,24.3,103-230,0.448,7.5,34-112,0.304,2020
42,Jr,6-8,Jairus Hamilton (21),Maryland,Boston College,51,1.7,1.3,106.8,16.5,57.3,58.8,2.1,10.7,6.9,13.9,0.6,0.8,33.3,27-58,0.466,8.6,37-86,0.43,2021
43,Jr,6-11,Joey Brunk (20),Indiana,Butler,48.7,1.4,1.2,101.1,19.4,52.2,51.5,9.8,20.4,6.7,15.7,2,0.6,30.1,97-186,0.522,0,0-0,0,2020
44,Sr,6-4,Curtis Jones Jr. (20),Penn St.,Oklahoma St.,43.4,0.9,1.1,97.2,19.2,44.9,46.3,1.5,11.5,12.7,11.4,1.1,0.8,12.2,31-65,0.477,13.6,38-131,0.29,2020
45,Jr,6-9,Lat Mayen (21),Nebraska,TCU,64.4,1,0.9,93.8,17.4,52.3,54.2,3,15.6,4.9,19.6,2.4,1.1,13.1,32-65,0.492,10.9,48-134,0.358,2021
46,Sr,6-5,Mark Alstork (18),Illinois,Wright St.,55.9,0.7,0.7,96.4,17,38,45.5,6.5,12.8,13.2,20.5,1.9,2,43.8,36-86,0.419,6.2,17-76,0.224,2018
47,Sr,6-6,Ryan Taylor (19),Northwestern,Evansville,66.1,1.3,0.5,97.5,19.1,45.5,48.6,1.3,6.6,8.9,8.5,1.1,1.6,14,43-112,0.384,12.6,60-180,0.333,2019
48,Sr,6-0,Kobe Webster (21),Nebraska,Western Illinois,57.9,1,0.4,95.3,17.9,48.2,49.7,0.5,7.2,11,12.7,0.2,1.4,14.2,29-79,0.367,10.7,44-118,0.373,2021
49,Jr,6-4,Trey McGowens (21),Nebraska,Pittsburgh,71.3,1.4,0.3,90.1,22.7,45.3,49.6,1.9,13.1,16.8,20.1,0.6,2.7,44.3,63-159,0.396,5.6,29-76,0.382,2021
50,So,6-5,Peter Kiss (19),Rutgers,Quinnipiac,43.4,0.7,0.3,96.5,18.5,46.8,47.9,3.7,9.6,9.7,16.3,0.6,1.3,18,37-76,0.487,10.3,29-96,0.302,2019
51,Jr,6-7,Miller Kopp (22),Indiana,Northwestern,62.1,0.5,0.2,96.5,13.7,45.6,49.4,1.6,9.8,7.5,15.7,1.2,1,19.1,30-86,0.349,7.2,39-108,0.361,2022
52,Sr,6-5,Sean Sutherlin (22),Minnesota,New Hampshire,51,1.3,0.2,98.5,19.8,49,54,2.7,17,9.4,16,1.5,2.3,52,69-137,0.504,1.3,3-13,0.231,2022
53,Sr,6-3,Eylijah Stephens (22),Minnesota,Lafayette,76.5,1.9,0.2,101,18.4,50.2,53.6,1.9,9.8,9.7,12.9,0.2,1.8,22,64-144,0.444,7,41-106,0.387,2022
54,Jr,6-2,Jacob Young (20),Rutgers,Texas,50.7,0.8,0.1,85.4,26,42.8,45.1,4,8.7,16.1,22.6,0.2,3,27.2,75-169,0.444,5.7,15-59,0.254,2020
55,Jr,6-5,Parker Stewart (22),Indiana,Tennessee Martin,58.7,0.8,0.1,102,13,51.6,52.7,0.7,9,7.2,13.1,0.3,1,15,17-52,0.327,9.6,53-135,0.393,2022
56,Jr,6-6,Both Gach (21),Minnesota,Utah,56.1,1,0,95.2,17.6,46.4,51.4,2.1,15.5,17.1,22.3,0.3,1.5,31.1,46-91,0.505,6.5,21-76,0.276,2021
57,Jr,6-7,A.J. Turner (19),Northwestern,Boston College,73.3,1,-0.1,94.4,18.6,47.1,51.2,0.7,8.7,20.2,20.4,1.1,1.1,28.5,54-120,0.45,7.5,39-119,0.328,2019
58,Jr,6-1,Josh Newkirk (17),Indiana,Pittsburgh,68.7,1.9,-0.1,103.6,19,50.6,52.9,2.9,9.4,19.8,23.8,0.8,1.1,24.2,79-168,0.47,5.5,35-92,0.38,2017
59,Sr,6-6,Xavier Green (22),Maryland,Old Dominion,49,0.1,-0.3,101.1,8.4,45.8,47.4,4,10.4,7.8,17.9,0.5,1.5,20.8,15-39,0.385,3.1,12-33,0.364,2022
60,Jr,6-5,Evan Taylor (17),Nebraska,Samford,60.1,0,-1.4,90.7,13.5,43.1,46.3,2.4,10.7,8.8,20.9,0.4,2.2,22.9,57-128,0.445,2,6-25,0.24,2017
61,Sr,6-2,Bakari Evelyn (20),Iowa,Valparaiso,45.9,0.3,-1.6,93.6,14.4,44,50.1,2.5,6.7,17.6,29.6,0.4,1.1,31,14-33,0.424,6.6,20-67,0.299,2020
62,Sr,6-4,Luke Loewe (22),Minnesota,William & Mary,86.6,1.3,-2.6,99.8,14.9,47.3,49.8,1.5,6.6,13,12.1,0.1,1,17.7,56-124,0.452,5.9,34-102,0.333,2022
