RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Jr,6-9,Dedric Lawson (19),Kansas,Memphis,80.8,5.4,9.7,114.4,28.5,52.5,57.8,11,23.2,11.1,14,3.7,2.2,40.4,214-419,0.511,4.3,35-89,0.393,2019
2,Sr,6-10,Tariq Owens (19),Texas Tech,St. John's,62.9,3.4,9.1,126.1,16.2,63,66,10.9,16.2,5.7,14.5,12.1,1.1,38.9,121-179,0.676,2,8-32,0.25,2019
3,Sr,6-8,Bryson Williams (22),Texas Tech,UTEP,63.3,4.2,8.4,119.6,24,58.8,61,7,12.6,9.5,12.3,2.1,1.1,25.7,164-285,0.575,6,40-96,0.417,2022
4,Jr,6-3,MaCio Teague (20),Baylor,UNC Asheville,75.8,4.3,7.8,117.1,20,50,55.4,3.5,12.9,11.4,11.5,0.6,1.8,35.7,60-131,0.458,11.1,60-169,0.355,2020
5,So,6-3,Adam Flagler (21),Baylor,Presbyterian,53.4,3.6,7.6,130.2,16.4,57.8,61.5,4.6,7.3,9.9,11.5,0.2,2.2,25.4,38-79,0.481,9.5,46-106,0.434,2021
6,Sr,6-6,Timmy Allen (22),Texas,Utah,71.9,3.7,7,110.1,24.4,50.3,55.3,10.9,16.2,16.1,16.5,1.6,2.7,48,146-287,0.509,0.9,4-15,0.267,2022
7,So,6-3,Malik Newman (18),Kansas,Mississippi St.,78.8,4.2,6.8,118.2,19.7,56.8,60.5,2,15.3,11.2,13.4,0.5,1.9,28.6,101-197,0.513,9.5,85-205,0.415,2018
8,Sr,6-5,Adonis Arms (22),Texas Tech,Winthrop,64.3,2.3,6.6,106,19.7,51.4,54.8,4.4,15.4,20.4,21.7,1.9,2.2,31,80-145,0.552,6.6,33-107,0.308,2022
9,Jr,5-11,Manu Lecomte (17),Baylor,Miami FL,71.5,4,6.2,117,20.9,54.5,58.5,0.9,6.3,24.1,19.6,0.2,1.8,29.4,58-128,0.453,10.8,70-171,0.409,2017
10,Sr,6-6,Chris Clarke (20),Texas Tech,Virginia Tech,58,1.8,5.9,101.7,19.5,46.4,51,8.1,24.6,34.5,27.6,0.5,2.2,40.6,61-125,0.488,1,2-13,0.154,2020
11,Sr,6-8,Aljaz Kunc (22),Iowa St.,Washington St.,55.6,2,5.7,117.3,13.2,54.4,58.1,5,17.8,8.8,11.6,3.2,2.2,45.3,25-53,0.472,7.2,37-95,0.389,2022
12,Sr,6-10,Tanner Groves (22),Oklahoma,Eastern Washington,59.9,3.5,5.6,112.6,23.3,61,62.6,6.7,22.4,14.8,18.3,1.8,0.9,24.7,108-170,0.635,8,43-113,0.381,2022
13,Sr,6-7,Christian Bishop (22),Texas,Creighton,49.6,2.5,5.6,115.5,19.6,60.7,62.8,15,19.4,7.8,20.1,5.5,1.4,55.3,88-144,0.611,0.5,2-6,0.333,2022
14,Jr,5-8,Markquis Nowell (22),Kansas St.,Little Rock,65.7,3.2,5.5,101.3,26.3,46,50.9,1.5,11.9,35.9,18.9,0.1,4.3,28.3,69-150,0.46,10.1,43-140,0.307,2022
15,Sr,6-6,Marial Shayok (19),Iowa St.,Virginia,79.9,4.7,5.4,111.9,26.9,57.1,61.1,5.1,11.7,12.2,17.6,0.8,1.7,26.6,158-278,0.568,9.6,71-185,0.384,2019
16,Jr,6-9,Michael Jacobson (19),Iowa St.,Nebraska,62.6,3.5,5.3,120.1,20.4,60.5,61.9,10.5,16.4,6,12.7,2,2,34.3,140-224,0.625,3.1,16-47,0.34,2019
17,Sr,6-3,Matt Mooney (19),Texas Tech,South Dakota,76.9,2.1,5.3,98.4,22.4,49.3,52.7,0.8,10.6,20.3,21.2,0.4,3.5,23.8,107-239,0.448,6.4,49-127,0.386,2019
